prey,Base_diUb,Vec_diUb,diUb1,Enr_diUb,sEnr_diUb,p_Bind_diUb
Daam2,13.3,0,0.1,1.59,-2.39,0.204
Mcf2,15.4,0,0.1,1.59,-2.41,0.204
Nudt15,14.5,0,0.1,1.59,-2.41,0.204
Chat,0.7,0,0.1,1,-2.54,0.204
Dok2,0.7,0,0.1,1,-2.66,0.203
Gm12695,14.2,0.1,0.2,1.1,-2.05,0.203
Slc7a9,18.4,0,0.1,1.59,-2.44,0.202
Kcnrg,19.5,0,0.1,1.59,-2.42,0.202
Ficd,14.4,0,0.1,1.59,-2.47,0.201
Tmem50a,17.8,0,0.1,1.59,-2.47,0.198
Fam210b,47,0,0.2,2.32,-2.36,0.198
Itpripl1,28.6,0,0.1,1.59,-2.46,0.197
Nr1h3,12.2,0,0.1,1.59,-2.49,0.197
Snn,140.9,0,0.2,2.32,-2.47,0.196
Nupr1l,1.8,0,0.1,1,-2.64,0.196
Rnf114,152,13.1,15.6,0.25,-1.92,0.195
Mmp3,29.5,0,0.1,1.59,-2.58,0.195
Svs6,0.5,0,0.1,1,-2.63,0.195
Itgb3,12.2,0,0.1,1.59,-2.46,0.193
St6galnac5,16.6,0,0.1,1.59,-2.5,0.193
St6gal1,107.4,0,0.2,2.32,-2.42,0.193
Tma16,5,0,0.1,1.59,-2.59,0.192
Cmtm4,67.9,0,0.2,2,-2.53,0.192
Nop9,82.5,0,0.2,2.32,-2.53,0.192
S1pr2,29.5,0,0.1,1.59,-2.54,0.192
Mbd5,49.3,0,0.2,2,-2.53,0.191
Tex24,66.6,0,0.2,2,-2.59,0.191
Usp37,131.4,26.2,31.7,0.27,-1.91,0.191
Theg,8.7,0,0.1,1.59,-2.56,0.19
Fam174b,114.4,16.8,18.5,0.14,-1.9,0.19
Wars2,20,0,0.1,1.59,-2.56,0.189
Fgd5,27.9,0,0.1,1.59,-2.62,0.189
AI987944,118.5,0,0.2,2.32,-2.55,0.188
Nexn,97.5,306.2,229.3,-0.42,-1.95,0.187
Saal1,29.2,0,0.1,1.59,-2.58,0.186
Arfip2,22.8,0,0.1,1.59,-2.53,0.186
Oaz3,45.9,0,0.2,2,-2.49,0.186
Gnptab,60.7,0,0.2,2,-2.56,0.186
Rps6kc1,26.8,0,0.2,2,-2.55,0.185
Fbxw20,28.6,0,0.1,1.59,-2.58,0.185
Pifo,170.9,0.1,0.3,1.58,-2.29,0.184
Acy3,78,0,0.2,2,-2.6,0.184
Vstm4,22.9,0,0.1,1.59,-2.57,0.183
Cml2,41.1,0,0.1,1.59,-2.6,0.183
Mmp15,1,0,0.1,1,-2.71,0.183
Ttll5,1.1,0,0.1,1,-2.68,0.183
Luc7l,130.4,0,0.2,2.32,-2.56,0.183
Hcar2,18.3,0,0.1,1.59,-2.61,0.182
Asl,2.5,0,0.1,1,-2.69,0.182
Mrpl36,17.2,0,0.1,1.59,-2.56,0.181
Cyp3a11,144.2,0,0.2,2.32,-2.56,0.181
Pdpn,14.5,0,0.1,1.59,-2.56,0.181
Topbp1,72.9,0,0.2,2,-2.53,0.181
Fam160b1,80.9,0,0.2,2,-2.59,0.181
Kctd19,62.2,0,0.2,2,-2.6,0.179
Lrrc71,20.8,0,0.1,1.59,-2.56,0.179
Tnfrsf23,19.1,0,0.1,1.59,-2.53,0.179
Nup35,323.3,881.3,780.4,-0.18,-2,0.179
Etl4,64.9,0,0.2,2,-2.57,0.179
Sulf1,41.4,0,0.1,1.59,-2.7,0.176
Sema4g,27.1,0,0.1,1.59,-2.69,0.175
Cyp19a1,1.8,0,0.1,1,-2.77,0.175
Ostc,129.3,0,0.2,2,-2.66,0.175
Gng5,29.6,0,0.1,1.59,-2.58,0.174
Lsm2,20.8,0,0.1,1.59,-2.69,0.174
Mkrn2os,31.9,0,0.1,1.59,-2.75,0.174
Zfp68,117.8,0,0.2,2,-2.66,0.173
Best1,44.2,0,0.2,2,-2.63,0.172
4930503E14Rik,32.7,0,0.1,1.59,-2.81,0.172
Mettl3,34.2,0,0.1,1.59,-2.64,0.171
Cyp1a2,0.7,0,0.1,1,-2.76,0.171
Pcsk2,25.6,0,0.1,1.59,-2.69,0.171
Col8a1,1.6,0,0.1,1,-2.81,0.171
Spin4,3.3,0,0.1,1,-2.83,0.171
Adam19,46.6,0,0.1,1.59,-2.75,0.171
Pld2,9.6,0.1,0.1,0.36,-2.43,0.17
Slc23a1,47,0,0.1,1.59,-2.74,0.17
Ugt1a6b,117.7,0.2,0.4,0.96,-2.37,0.17
Tmem184c,72.9,0,0.2,2,-2.66,0.169
BC027231,15.6,0,0.1,1.59,-2.69,0.169
4930426D05Rik,3.9,0,0.1,1,-2.8,0.169
Rpl35a,31.8,0,0.1,1.59,-2.71,0.169
Vrk3,23,0,0.1,1.59,-2.75,0.169
Topors,246.8,0.1,0.4,1.94,-2.39,0.169
Cirh1a,72.4,0,0.2,2,-2.67,0.169
Acox2,34.2,0,0.1,1.59,-2.74,0.169
Sv2b,85.1,0,0.2,2,-2.68,0.169
Gnpda1,134.9,0.1,0.3,1.58,-2.47,0.169
Enthd2,2.3,0,0.1,1,-2.77,0.168
Ide,201.9,0,0.2,2.32,-2.69,0.168
Nufip1,27.2,0,0.1,1.59,-2.69,0.167
Atp10b,40.8,0,0.1,1.59,-2.74,0.167
Ppid,121.4,0.1,0.3,1.49,-2.46,0.167
Rhbdd2,21.3,0,0.1,1.59,-2.74,0.167
Zfp810,52.5,0,0.2,2,-2.67,0.167
Lcn2,38.1,0,0.1,1.59,-2.75,0.166
Zdhhc16,80,0.1,0.2,1.1,-2.43,0.166
Aga,43.3,0,0.1,1.59,-2.74,0.166
Psmb1,42.1,0,0.1,1.59,-2.69,0.165
Swt1,121.5,0.1,0.3,1.49,-2.46,0.165
Cd83,62.1,0,0.1,1.59,-2.85,0.165
Ptprm,57.1,0,0.2,2,-2.71,0.165
Snx17,23.7,0,0.1,1.59,-2.8,0.165
Lrrc23,6.8,0,0.1,1,-2.87,0.164
Nudcd1,73.5,0,0.1,1.59,-2.87,0.164
Ralgps2,120.1,0,0.2,2.32,-2.71,0.163
Ddo,49,0,0.1,1.59,-2.71,0.162
Thsd7b,34.5,0,0.1,1.59,-2.69,0.162
Mtmr4,168.1,0,0.2,2.32,-2.77,0.161
Rpain,62.3,0,0.1,1.59,-2.72,0.161
Dna2,4.9,0,0.1,1,-2.88,0.161
Styxl1,106.8,0,0.2,2,-2.83,0.161
Eef1a1,38.6,0,0.1,1.59,-2.81,0.161
Ncoa6,101,1761.6,1427.2,-0.3,-2.17,0.161
Brca1,24.8,0,0.1,1.59,-2.73,0.16
Catsper1,4.8,0.1,0.2,0.61,-2.38,0.16
Nr6a1,69.4,0,0.1,1.59,-2.82,0.16
Pfdn5,141.1,0,0.2,2.32,-2.72,0.159
Mrap2,4.3,0,0.1,1,-2.96,0.159
Sult1a1,76,0,0.2,2,-2.78,0.158
Gdnf,4.5,0,0.1,1,-2.92,0.158
Gpn1,56.9,0,0.1,1.59,-2.88,0.158
Rrp1b,6,0,0.1,1,-2.9,0.158
Hdhd2,128.3,0,0.2,2,-2.78,0.157
Adck3,36.6,0,0.1,1.59,-2.79,0.156
Olfr733,36.1,0,0.1,1.59,-2.79,0.155
Swi5,49.9,0,0.1,1.59,-2.76,0.155
Hsd17b7,58.4,0,0.1,1.59,-2.9,0.155
Ccdc157,30.8,0.1,0.2,0.77,-2.53,0.155
Blmh,89.4,0.1,0.2,1.1,-2.6,0.155
Gm3985,3,0,0.1,1,-2.97,0.155
Ndufa6,6.2,0,0.1,1,-2.94,0.154
Anp32a,43.4,0,0.1,1.59,-2.8,0.154
Gsg1l,4.5,0,0.1,1,-2.95,0.154
1700056E22Rik,3.6,0,0.1,1,-2.89,0.153
Dnah9,4.5,0,0.1,1,-3,0.153
Wdr17,5.4,0,0.1,1,-2.93,0.153
Tra2a,88.8,24.1,17.7,-0.44,-2.16,0.152
Slc38a6,3.7,0,0.1,1,-2.94,0.152
Zfp410,76.9,0,0.2,2,-2.82,0.152
Vmn2r88,6,0,0.1,1,-2.96,0.152
Ubiad1,46.8,0,0.1,1.59,-2.76,0.15
Itprip,5.8,0,0.1,1,-3.01,0.15
Col5a3,5,0,0.1,1,-2.99,0.149
Zfp365,45.2,0,0.1,1.59,-2.81,0.149
Tanc1,119.6,0,0.2,2,-2.86,0.149
Arl16,7.1,0,0.1,1,-3.01,0.148
Tnn,4.1,0,0.1,1,-3,0.148
Lyzl6,130.6,59.1,44.5,-0.41,-2.35,0.148
Ppp4r1,74.9,0,0.1,1.59,-2.9,0.147
Tal2,5.1,0,0.1,1,-3.06,0.147
Pdlim7,5.1,0,0.1,1,-3.01,0.147
Tgfb1i1,6.6,0,0.1,1,-3,0.147
Phactr1,106.1,0,0.1,1.59,-3,0.147
Mxra8,45.4,0.1,0.2,0.77,-2.61,0.146
Dapk2,5,0,0.1,1,-3.06,0.146
Ankrd55,6.5,0,0.1,1,-3.02,0.145
Ccdc173,164,0,0.1,1.59,-2.92,0.145
Cers6,3.8,0,0.1,1,-3.04,0.145
Usp53,3.3,0,0.1,1,-2.93,0.145
Gsto2,166.3,0,0.2,2,-2.9,0.144
Hsf2,59.8,0,0.1,1.59,-2.94,0.144
Prss37,472.8,0.1,0.6,1.79,-2.56,0.144
Cypt4,27.8,0,0.1,1.59,-2.86,0.144
Cd276,9.8,0,0.1,1,-3.1,0.144
Vegfc,7.5,0,0.1,1,-3.05,0.144
Tmem26,27.1,0,0.1,1.59,-2.9,0.144
Iscu,10.4,0.1,0.1,0.49,-2.65,0.143
Fn3k,9.8,0,0.1,1,-2.94,0.143
C2cd3,36.3,0,0.1,1.59,-2.89,0.143
3830417A13Rik,8.1,0,0.1,1,-3.04,0.143
Stab1,2,0,0.1,1,-2.99,0.143
Nat8,43.3,0,0.1,1.59,-2.99,0.143
Rffl,123.8,0.1,0.2,1.23,-2.63,0.142
Ccpg1,195.5,0.1,0.3,1.36,-2.68,0.142
Ces2e,11.1,0,0.1,1,-3.05,0.141
Fbxl17,127.8,0,0.2,2,-2.93,0.141
Ms4a4d,50.4,0,0.1,1.59,-2.92,0.141
Cd40,7,0,0.1,1,-3.01,0.141
Serpina1f,187.8,0,0.2,2.32,-2.89,0.141
Btla,10.7,0,0.1,1,-3.08,0.14
Traip,6.4,0,0.1,1,-3.05,0.14
1110017D15Rik,68.5,0,0.1,1.59,-2.96,0.14
Rbx1,77.2,0,0.1,1.59,-2.95,0.14
Arsa,3.6,0,0.1,1,-3.03,0.14
Skida1,14.5,0,0.1,1,-3.09,0.139
Mpi,106,0.1,0.2,1.23,-2.7,0.139
Zfp612,115.4,8.2,5.8,-0.49,-2.43,0.139
Ahnak,92,0,0.1,1.59,-3.03,0.139
Mrpl12,7.3,0,0.1,1,-3.05,0.139
Rapgef4,196.6,0,0.2,2,-2.97,0.139
Rps20,24.6,824.9,555.8,-0.57,-2.32,0.139
Gm7073,88,0,0.1,1.59,-3.05,0.138
Prss21,5,0,0.1,1,-3.04,0.138
Cdc42se1,51.4,0,0.1,1.59,-2.89,0.138
Nt5dc2,2.6,0,0.1,1,-3.17,0.138
Mark1,3.5,0,0.1,1,-3.04,0.138
Slc44a1,42.7,0.1,0.2,0.77,-2.67,0.138
Serinc4,50.6,0,0.1,1.59,-3.01,0.138
Acp2,101.7,0.1,0.2,1.23,-2.74,0.137
Cd8a,77.5,0,0.1,1.59,-3.05,0.137
Stard3nl,67.3,0,0.1,1.59,-3,0.137
Nptn,60.2,0,0.1,1.59,-3.1,0.137
Sde2,18.7,0.1,0.1,0.49,-2.74,0.137
Pradc1,18.4,0.1,0.1,0.36,-2.76,0.137
Krt14,15.1,0,0.1,1,-3.18,0.137
Pank1,199.4,140.9,87.6,-0.69,-2.42,0.137
Eif5a2,61.2,0.6,0.6,-0.06,-2.49,0.136
Mndal,77.9,0,0.1,1.59,-3,0.136
Wdyhv1,14.3,0,0.1,1,-3.21,0.136
Serpinb1b,14.9,0,0.1,1,-3.16,0.136
Acnat2,99.7,0,0.1,1.59,-3.02,0.136
Cct5,9.5,0,0.1,1,-3.18,0.136
Nrbf2,58.7,0.1,0.2,0.9,-2.75,0.135
Nat9,8.5,0,0.1,1,-3.08,0.135
Zfp277,55.7,0,0.1,1.59,-2.96,0.135
Ikbkap,60.9,0,0.1,1.59,-3.05,0.134
Pvr,9.1,0,0.1,1,-3.11,0.134
Foxj2,18.5,0,0.1,1,-3.24,0.134
Suv39h1,55.7,0,0.1,1.59,-3.08,0.134
Rhoa,251.4,0.1,0.3,1.71,-2.64,0.134
Ssna1,15.3,0,0.1,1,-3.18,0.134
Slc51b,22.3,0.1,0.1,0.36,-2.76,0.134
E130309D14Rik,14.4,0,0.1,1,-3.12,0.134
Treml2,10.9,0,0.1,1,-3.13,0.134
Lyn,76.6,0,0.1,1.59,-2.91,0.134
B4galt3,8.7,0,0.1,1,-3.07,0.133
Syne1,97.9,0.1,0.2,1.1,-2.66,0.133
Spatc1,7.2,0,0.1,1,-3.11,0.133
Tex264,4.4,0,0.1,1,-3.11,0.133
Srfbp1,12.7,0,0.1,1,-3.13,0.133
Fndc3c1,8.7,0,0.1,1,-3.04,0.133
Pou6f1,67.2,0,0.1,1.59,-3.02,0.133
Pck1,9.4,0,0.1,1,-3.09,0.133
Map7d2,83.3,0,0.1,1.59,-3.07,0.133
Apoa2,15.9,0,0.1,1,-3.13,0.132
Lyzl1,84.6,0,0.1,1.59,-3.05,0.132
Fam173a,10.4,0,0.1,1,-3.24,0.132
Ina,13.7,0,0.1,1,-3.15,0.132
Mb21d2,71.3,0,0.1,1.59,-3.04,0.132
Pmm1,13.6,0,0.1,1,-3.11,0.132
Cwc22,22.6,0.2,0.3,0.11,-2.54,0.132
Vsig1,279.6,0,0.2,2.32,-3.05,0.132
Anln,92.8,55.2,28.3,-0.97,-2.5,0.132
Ly96,7.3,0,0.1,1,-3.12,0.131
Synj1,230.2,0.1,0.3,1.49,-2.81,0.131
C1qtnf1,6.6,0,0.1,1,-3.12,0.131
Gm6812,17.7,0,0.1,1,-3.15,0.13
Zfp131,136.1,284.5,158.3,-0.85,-2.45,0.13
Zfp184,14.4,0,0.1,1,-3.16,0.13
Mrpl3,113.2,0.2,0.3,0.6,-2.54,0.13
Cyb5d1,6.8,0,0.1,1,-3.16,0.13
Pms2,16.5,0,0.1,1,-3.17,0.129
Dag1,183.5,0.1,0.2,1.1,-2.81,0.129
Ranbp6,73.1,0,0.1,1.59,-3.01,0.129
Hsf5,129.3,0.1,0.2,0.77,-2.78,0.129
Serpinb5,108.7,0,0.1,1.59,-3.11,0.128
Nkd1,13,0,0.1,1,-3.24,0.128
Cox7a2,139.9,0.1,0.3,0.79,-2.74,0.128
Sptan1,82.9,0.1,0.2,0.9,-2.78,0.128
Slc30a7,134.6,0,0.1,1.59,-3.17,0.128
Dcbld1,32.1,0.1,0.2,0.12,-2.76,0.128
Morc3,156.6,0,0.1,1.59,-3.13,0.128
Rps14,19.5,0,0.1,1,-3.2,0.128
B3galt2,6.1,0,0.1,1,-3.16,0.127
Tet3,94.9,0,0.1,1.59,-3.1,0.127
Slc37a3,70.8,0.1,0.2,0.77,-2.79,0.127
Bank1,7,0,0.1,1,-3.17,0.127
Anapc11,9.4,0,0.1,1,-3.17,0.126
Gm527,33,0.1,0.1,0.49,-2.91,0.126
Gm14436,7.5,0,0.1,1,-3.17,0.126
Pex2,122.8,0,0.1,1.59,-3.08,0.126
Rad52,13.8,0,0.1,1,-3.18,0.125
Ica1,94.9,0,0.1,1.59,-3.12,0.125
Slc5a2,6.1,0.2,0.2,-0.01,-2.62,0.125
Gpr128,10.6,0,0.1,1,-3.13,0.125
Mdh1b,79.5,0.1,0.2,0.9,-2.79,0.125
Fam78b,13.4,0,0.1,1,-3.29,0.125
Git2,22.2,0,0.1,1,-3.22,0.125
Klhdc10,120.3,4158.6,2982.9,-0.48,-2.43,0.125
Cep89,15.9,0,0.1,1,-3.13,0.125
Slc22a18,12.4,0,0.1,1,-3.2,0.125
Gdap2,76.4,0.1,0.2,0.9,-2.75,0.124
Otc,15.1,0,0.1,1,-3.25,0.124
Cxcl10,31.7,0,0.1,1,-3.29,0.123
9430015G10Rik,17.4,0,0.1,1,-3.24,0.123
Hdc,9,0,0.1,1,-3.18,0.123
Mex3b,14.5,0,0.1,1,-3.23,0.123
Dcaf11,19.1,0,0.1,1,-3.26,0.123
Setd2,125.9,0,0.2,2,-3.05,0.123
Mrpl18,124.7,0.1,0.2,0.77,-2.87,0.122
Cst7,30.3,0,0.1,1,-3.35,0.122
Odf2,57.5,0.1,0.2,0.61,-2.79,0.122
Fam45a,147.2,0.1,0.2,1.1,-2.82,0.121
Mpp6,150.1,0,0.1,1.59,-3.08,0.121
Ppm1h,11.3,0,0.1,1,-3.23,0.121
Scmh1,19.9,0,0.1,1,-3.24,0.121
Hs3st3b1,11.9,0,0.1,1,-3.17,0.121
Tmem52b,28.3,0,0.1,1,-3.27,0.121
Pla2g4e,11.1,0.1,0.1,0.49,-2.86,0.121
Ppp1r1b,14.3,0,0.1,1,-3.25,0.12
Pkm,16.1,0,0.1,1,-3.21,0.12
Slc30a10,12.8,0,0.1,1,-3.25,0.12
Araf,188.2,0,0.2,2,-3.13,0.12
Psmb4,27.2,0.1,0.1,0.49,-2.93,0.12
Polr3h,9.3,0,0.1,1,-3.26,0.12
Hs2st1,100.4,0,0.1,1.59,-3.12,0.12
Pdcl3,235.9,0.1,0.2,1.23,-2.89,0.119
Pdgfrb,13.8,0,0.1,1,-3.3,0.119
Cnot4,121.8,0.1,0.2,1.1,-2.87,0.119
Stt3a,145,0,0.1,1.59,-3.28,0.119
Kctd1,17.1,0.1,0.1,0.36,-2.83,0.119
Spag8,19.3,0,0.1,1,-3.25,0.119
Zfp456,17.6,0,0.1,1,-3.35,0.118
C4bp,23.8,0,0.1,1,-3.21,0.118
Ptgs2,16.2,0,0.1,1,-3.31,0.118
Rps12,30,0,0.1,1,-3.31,0.118
Sdc3,10.6,0,0.1,1,-3.24,0.118
Dhdds,22.3,0,0.1,1,-3.25,0.118
Cyb561a3,17.1,0,0.1,1,-3.26,0.118
Zfp14,16.9,0,0.1,1,-3.33,0.118
Ero1l,153.4,0,0.1,1.59,-3.2,0.117
Gm10406,16.8,0,0.1,1,-3.32,0.117
Rnase10,13.7,0,0.1,1,-3.32,0.117
Ift81,152.8,0,0.1,1.59,-3.24,0.117
Pls3,432.6,0.2,0.6,1.06,-2.78,0.117
Nudt1,15.2,0,0.1,1,-3.29,0.117
Strn,7.2,0,0.1,1,-3.24,0.117
Cd96,25.7,0.1,0.1,0.49,-2.95,0.117
4930579G24Rik,4.4,431.5,231.6,-0.9,-2.52,0.117
Pts,24.8,0,0.1,1,-3.24,0.116
Il18r1,24.1,0,0.1,1,-3.32,0.116
Aoc3,24.3,0,0.1,1,-3.32,0.116
Farp2,16.5,0.1,0.1,0.49,-2.92,0.116
Fmo3,18.7,0,0.1,1,-3.32,0.116
Naca,134.4,0,0.1,1.59,-3.24,0.116
Zfp708,16.9,0,0.1,1,-3.26,0.116
Mlxipl,18,0,0.1,1,-3.33,0.116
Ccdc107,9.2,0,0.1,1,-3.29,0.116
Rpl7l1,300.4,0.1,0.2,1.1,-2.91,0.116
Actl6a,123.7,0,0.1,1.59,-3.21,0.115
Zbtb44,129.9,0,0.1,1.59,-3.24,0.115
Itk,13,0,0.1,1,-3.25,0.115
Pdxp,30.1,0,0.1,1,-3.31,0.115
Bmp1,11.2,0,0.1,1,-3.28,0.115
Prr32,27.7,0,0.1,1,-3.37,0.115
1700020N15Rik,13.9,0,0.1,1,-3.32,0.115
AA986860,21.5,0,0.1,1,-3.37,0.114
Tomm40l,22.6,0,0.1,1,-3.26,0.114
Trit1,13.2,0,0.1,1,-3.22,0.114
Srsf7,299.7,684.2,302.1,-1.18,-2.55,0.114
Cox6b2,14.7,0,0.1,1,-3.19,0.114
Pdzd3,12.8,0,0.1,1,-3.3,0.114
Wdr18,16.4,0,0.1,1,-3.39,0.114
Mpp7,42.6,0,0.1,1,-3.43,0.114
Ndufb4,35.5,0.6,0.7,0.22,-2.6,0.114
Ezh2,100.3,0.1,0.2,0.9,-2.92,0.114
Trmt6,121.7,0.2,0.3,0.28,-2.76,0.113
Dad1,22.3,0,0.1,1,-3.4,0.113
Cox5a,16.4,0,0.1,1,-3.28,0.113
Thoc2,141.1,0.1,0.2,0.77,-2.99,0.113
