prey,Base,Vec,Rab5GDP,Rab5GTP,Enr_GDP,Enr_GTP,sEnr_GDP,sEnr_GTP,p_GDP_Vec,p_GTP_Vec,p_GTP_GDP,p_GDP_GTP,p_GDP,p_GTP
Trim35,91.6,0.6,0.1,4.7,-2.37,2.95,-2.17,-2.27,0.016,0.04,0.514,0.486,0.008,0.021
Cntn1,263.6,1097.3,0.3,4761.9,-11.7,2.12,-2.27,-2.26,0.018,0.039,0.533,0.467,0.008,0.021
Eif2ak2,38.1,25.1,0.1,125.4,-7.05,2.32,-2.24,-2.31,0.018,0.039,0.516,0.484,0.009,0.02
Eif3j1,172,121.8,0.1,378.7,-9.99,1.64,-2.21,-2.4,0.017,0.029,0.494,0.506,0.009,0.014
Tm7sf3,33.3,133.4,0.1,539.3,-10.12,2.02,-2.21,-2.38,0.022,0.028,0.487,0.513,0.011,0.014
Rpn2,222.3,162,0.1,422,-10.4,1.38,-2.25,-2.39,0.022,0.027,0.491,0.509,0.011,0.013
Hoxa4,6.3,15.4,0,29.2,-8.27,0.92,-2.19,-2.43,0.022,0.027,0.485,0.515,0.012,0.013
Copb1,135.9,52.9,0.1,149.9,-8.79,1.5,-2.23,-2.4,0.019,0.025,0.479,0.521,0.01,0.012
Cldn12,147.5,4554.8,0.3,13581.9,-13.75,1.58,-2.23,-2.45,0.017,0.026,0.471,0.529,0.009,0.012
Eif3j2,172,121.5,0,378.5,-11.25,1.64,-2.22,-2.43,0.018,0.023,0.482,0.518,0.009,0.011
Dsc2,55.7,25.8,0.2,86.3,-6.64,1.74,-2.25,-2.48,0.02,0.021,0.481,0.519,0.011,0.01
Hsf2bp,82.5,91.7,0,93.4,-10.84,0.03,-2.22,-2.54,0.022,0.02,0.454,0.546,0.012,0.009
Uhrf1bp1l,245.4,3002.4,20053.5,32023.8,2.74,3.41,-1.68,-2.33,0.034,0.026,0.337,0.663,0.023,0.009
Nme7,218.9,2563.6,1.5,5552.8,-10.66,1.11,-2.25,-2.52,0.018,0.017,0.461,0.539,0.01,0.008
Nme6,110.2,0.1,0,0.8,-1.23,2.9,-2.21,-2.62,0.025,0.016,0.439,0.561,0.014,0.007
Gm14420,38.9,0.1,0.1,1.2,0.82,3.55,-2.06,-2.6,0.02,0.015,0.397,0.603,0.012,0.006
Gm9758,53.1,0.1,0,1.1,-1.23,3.33,-2.16,-2.66,0.023,0.012,0.417,0.583,0.013,0.005
1700006E09Rik,62.6,0.1,0,0.5,-1.23,2.3,-2.17,-2.69,0.018,0.012,0.399,0.601,0.011,0.005
Faim,27.4,0,0,0.9,0,4.25,-2.22,-2.76,0.018,0.011,0.4,0.6,0.011,0.004
Hgf,9,0,0,0.3,0,2.81,-2.17,-2.84,0.019,0.009,0.377,0.623,0.012,0.004
Bag4,123.3,98,0,139.6,-10.94,0.51,-2.23,-2.73,0.017,0.008,0.402,0.598,0.01,0.003
Gm20747,164.8,0.3,0.3,1.9,0.05,2.6,-2.05,-2.74,0.027,0.009,0.363,0.637,0.017,0.003
Trim30a,118.3,91.3,0.2,148.9,-8.46,0.71,-2.24,-2.73,0.021,0.008,0.414,0.586,0.012,0.003
Hdlbp,263.8,1103.2,0.1,1406.6,-12.51,0.35,-2.23,-2.71,0.022,0.008,0.405,0.595,0.013,0.003
Ano6,107.7,0,0,0.8,0,4,-2.19,-2.85,0.018,0.009,0.371,0.629,0.011,0.003
Nek4,64,77.1,0.2,131.7,-8.21,0.77,-2.21,-2.74,0.022,0.008,0.392,0.608,0.013,0.003
Rasa2,62.9,22386.5,1631.2,28651.5,-3.78,0.36,-2.14,-2.72,0.019,0.007,0.392,0.608,0.012,0.003
Sp100,53.5,0.1,0,0.5,-1.1,2.23,-2.2,-2.81,0.015,0.008,0.36,0.64,0.01,0.003
Cyp4v3,79.6,35.2,0.1,50.9,-7.54,0.53,-2.21,-2.73,0.019,0.007,0.395,0.605,0.012,0.003
Atp1b3,302,16264.6,124.9,23494.2,-7.02,0.53,-2.24,-2.79,0.022,0.007,0.389,0.611,0.014,0.003
Gm17019,67.4,0.3,0,1,-2.95,1.41,-2.2,-2.78,0.022,0.006,0.385,0.615,0.013,0.002
Btg3,75.8,0,0,0.4,0,3.09,-2.17,-2.96,0.019,0.007,0.345,0.655,0.013,0.002
Vsig10l,7.9,0,0,0.2,0,2.46,-2.15,-2.89,0.025,0.006,0.359,0.641,0.016,0.002
Fam13a,161.6,0.2,0,0.8,-2.15,1.99,-2.22,-2.87,0.017,0.006,0.363,0.637,0.011,0.002
Atp1b1,335.5,29261,616.9,38904.3,-5.57,0.41,-2.21,-2.81,0.02,0.006,0.389,0.611,0.012,0.002
Dpy19l1,71.8,0.5,0,1.3,-3.52,1.21,-2.21,-2.83,0.017,0.006,0.385,0.615,0.01,0.002
Ppp1r42,705.2,99198.8,128762.6,292868,0.38,1.56,-1.86,-2.67,0.026,0.007,0.31,0.69,0.018,0.002
Ndufaf3,5.6,0,0,0.2,0,2.46,-2.2,-2.92,0.021,0.006,0.353,0.647,0.013,0.002
Upb1,40.1,0,0,0.3,0,2.81,-2.19,-2.88,0.018,0.006,0.347,0.653,0.012,0.002
Cars2,3.1,0,0,0.2,0,2,-2.15,-2.95,0.024,0.006,0.337,0.663,0.016,0.002
Rab21,39.4,0.1,0,0.4,-1.23,1.86,-2.18,-2.87,0.022,0.006,0.367,0.633,0.014,0.002
Napb,118.2,0.1,0,0.5,-1.23,2.1,-2.16,-2.9,0.024,0.005,0.36,0.64,0.015,0.002
Wdr45b,79.2,0.1,0,0.5,-1.23,2.3,-2.2,-2.87,0.021,0.005,0.373,0.627,0.013,0.002
Mov10l1,37.1,0,0,0.4,0,3.09,-2.17,-2.92,0.023,0.005,0.357,0.643,0.015,0.002
Asb5,60.6,0,0,0.5,0,3.53,-2.19,-2.92,0.019,0.005,0.357,0.643,0.012,0.002
4930555G01Rik,21,0,0,0.2,0,2.46,-2.14,-2.94,0.021,0.006,0.34,0.66,0.014,0.002
Entpd5,179.2,0.1,0.2,1,1.15,3.13,-2.09,-2.86,0.025,0.006,0.327,0.673,0.017,0.002
Cmpk1,174.6,2343.1,0.8,2720.5,-11.48,0.22,-2.24,-2.81,0.021,0.005,0.387,0.613,0.013,0.002
She,59.8,0.1,0.1,0.5,0.03,2.3,-2.12,-2.9,0.023,0.005,0.335,0.665,0.015,0.002
Hsd3b6,26.3,0.1,0,0.3,-1.23,1.58,-2.19,-2.88,0.02,0.005,0.358,0.642,0.013,0.002
Sostdc1,9.5,0,0,0.2,0,2,-2.12,-2.97,0.02,0.005,0.328,0.672,0.013,0.002
Fam122b,44.1,0,0,0.2,0,2,-2.14,-3.05,0.018,0.006,0.31,0.69,0.013,0.002
Cdkn2c,114.6,0,0,0.5,0,3.32,-2.19,-2.94,0.017,0.005,0.345,0.655,0.011,0.002
Rbm7,195.6,0.1,0,0.5,-1.1,2.23,-2.18,-2.92,0.019,0.005,0.343,0.657,0.012,0.002
LOC100861615,33.7,0.4,0,0.6,-3.01,0.69,-2.16,-2.88,0.023,0.005,0.35,0.65,0.015,0.002
Slc25a36,40.9,0.1,0,0.3,-1.1,1.71,-2.18,-2.92,0.022,0.005,0.354,0.646,0.014,0.002
Ccdc122,20.9,0,0,0.2,0,2.46,-2.19,-2.96,0.017,0.005,0.335,0.665,0.011,0.002
Zcrb1,31.3,0,0,0.2,0,2.46,-2.16,-2.99,0.019,0.005,0.323,0.677,0.013,0.002
Mid2,61.9,0.1,0,0.3,-1.23,1.58,-2.17,-2.89,0.021,0.005,0.347,0.653,0.014,0.002
Ehd4,199.1,0.1,0,0.8,-1.8,2.33,-2.16,-2.87,0.022,0.005,0.347,0.653,0.014,0.002
Mroh9,59.9,0.1,0,0.4,-1.1,1.99,-2.15,-2.92,0.019,0.005,0.337,0.663,0.013,0.002
Aph1b,82.6,0,0,0.3,0,2.81,-2.17,-2.99,0.016,0.005,0.322,0.678,0.011,0.002
Slc38a9,129.1,0,0,0.3,0,2.81,-2.21,-2.99,0.018,0.004,0.341,0.659,0.012,0.002
Rufy3,201.6,0,0,0.5,0,3.32,-2.19,-3.02,0.023,0.005,0.332,0.668,0.016,0.002
4930557A04Rik,11.9,0,0,0.2,0,2.46,-2.16,-2.94,0.022,0.004,0.338,0.662,0.015,0.002
Serpina1f,180.6,0,0,0.6,0,3.7,-2.21,-2.98,0.019,0.004,0.341,0.659,0.012,0.001
Gm3500,69.7,0.1,0,0.4,-1.72,1.37,-2.2,-2.91,0.017,0.004,0.345,0.655,0.011,0.001
Otub2,98.7,0,0,0.4,0,3.09,-2.21,-3,0.017,0.004,0.34,0.66,0.011,0.001
Snx3,252,67.3,0.2,54.1,-8.02,-0.31,-2.24,-2.89,0.018,0.004,0.373,0.627,0.011,0.001
Fbxo38,84.4,0,0,0.3,0,2.81,-2.19,-3.03,0.018,0.004,0.331,0.669,0.012,0.001
Emc6,42.9,0,0,0.2,0,2.46,-2.16,-3.02,0.019,0.004,0.315,0.685,0.013,0.001
Morc3,172.5,0,0,0.2,0,2.46,-2.13,-3.08,0.026,0.004,0.315,0.685,0.018,0.001
Zscan29,72.7,0.1,0,0.5,-1.72,1.61,-2.21,-2.98,0.023,0.004,0.346,0.654,0.015,0.001
Cul2,122.4,0.1,0.1,0.7,0.69,2.63,-2.05,-2.92,0.022,0.004,0.296,0.704,0.016,0.001
Slc12a5,37.8,0,0,0.2,0,2,-2.14,-3.04,0.022,0.004,0.311,0.689,0.015,0.001
Sucnr1,88.5,0,0,0.2,0,2.46,-2.17,-3.04,0.022,0.004,0.311,0.689,0.015,0.001
Slc39a7,31.7,0,0,0.2,0,2.46,-2.18,-3.04,0.017,0.004,0.319,0.681,0.012,0.001
Vrk2,56.5,0,0,0.2,0,2.46,-2.16,-3.03,0.022,0.004,0.312,0.688,0.015,0.001
Sdc3,13,0,0,0.2,0,2,-2.14,-3.03,0.022,0.004,0.309,0.691,0.015,0.001
Gm4027,100.6,0,0,0.3,0,2.81,-2.19,-3.01,0.018,0.004,0.319,0.681,0.012,0.001
Ccdc83,122.3,0,0,0.4,0,3.09,-2.15,-3.02,0.021,0.004,0.32,0.68,0.014,0.001
Eif1ad,33.7,9507.8,0,8560.8,-17.54,-0.15,-2.24,-2.86,0.02,0.003,0.37,0.63,0.013,0.001
Rbpj,104,0,0,0.2,0,2.46,-2.16,-3.04,0.019,0.004,0.31,0.69,0.013,0.001
Paip2b,157.9,0,0.1,1,1.26,4.36,-2.15,-2.97,0.019,0.004,0.311,0.689,0.013,0.001
Agtr1a,59.5,0,0,0.3,0,2.81,-2.19,-3.02,0.021,0.004,0.325,0.675,0.014,0.001
Arhgef17,63.7,0.1,0,0.4,-1.1,1.99,-2.19,-2.94,0.018,0.003,0.343,0.657,0.012,0.001
Ice1,158.9,0.1,0,0.5,-1.23,2.1,-2.19,-2.94,0.021,0.003,0.344,0.656,0.014,0.001
Gm10377,127.7,0.1,0,0.5,-1.72,1.61,-2.19,-2.98,0.02,0.003,0.345,0.655,0.013,0.001
Zfp955b,22.1,0,0,0.2,0,2,-2.14,-3.03,0.02,0.004,0.313,0.687,0.014,0.001
Gm6370,39.4,0,0,0.2,0,2.46,-2.15,-3.04,0.019,0.004,0.312,0.688,0.013,0.001
Rps25,55.3,0,0,0.2,0,2.46,-2.18,-3.02,0.021,0.003,0.322,0.678,0.014,0.001
Reep3,257.2,0.1,0.2,0.9,1.28,3.15,-2.03,-2.95,0.024,0.004,0.288,0.712,0.017,0.001
Tbc1d7,92.7,0.2,0,0.6,-2.21,1.49,-2.21,-2.95,0.017,0.003,0.338,0.662,0.011,0.001
Arl14epl,17.9,0,0,0.2,0,2,-2.15,-3.07,0.02,0.004,0.286,0.714,0.014,0.001
Rbm48,22.8,0,0,0.2,0,2,-2.18,-3.03,0.02,0.003,0.316,0.684,0.014,0.001
Plbd1,61.4,0,0,0.2,0,2,-2.15,-3.1,0.022,0.003,0.301,0.699,0.016,0.001
Actr1b,12.2,0,0,0.2,0,2,-2.15,-3.04,0.02,0.003,0.302,0.698,0.014,0.001
Fbxl13,95,0.1,0,0.3,-1.1,1.71,-2.18,-3.01,0.021,0.003,0.324,0.676,0.014,0.001
Fam110c,10.1,0,0,0.2,0,2,-2.14,-3.02,0.021,0.003,0.306,0.694,0.015,0.001
Sufu,46.4,0,0,0.2,0,2,-2.15,-3.09,0.023,0.003,0.307,0.693,0.016,0.001
Ccdc73,46.2,0,0,0.2,0,2,-2.16,-3.07,0.024,0.003,0.315,0.685,0.016,0.001
Serinc5,154.3,0.1,0.1,0.7,0.12,2.06,-2.09,-2.98,0.021,0.003,0.288,0.712,0.015,0.001
Abr,150.4,0,0.1,0.9,1.92,4.25,-2.11,-2.97,0.018,0.003,0.311,0.689,0.012,0.001
Angel2,163,1006.5,1.6,840.7,-9.25,-0.26,-2.23,-2.93,0.019,0.003,0.351,0.649,0.012,0.001
Zufsp,70.4,0,0,0.3,0,2.81,-2.2,-3.02,0.019,0.003,0.325,0.675,0.013,0.001
Rnf115,206.8,0.1,0.1,0.8,0.03,2.77,-2.14,-2.91,0.02,0.003,0.323,0.677,0.013,0.001
Gm884,13.8,0,0,0.2,0,2,-2.17,-3.06,0.019,0.003,0.313,0.687,0.013,0.001
Gm1527,41.5,0.1,0,0.2,-1.23,1.23,-2.17,-3.05,0.017,0.003,0.307,0.693,0.012,0.001
Zfp629,27,0.1,0,0.2,-1.1,1.36,-2.16,-2.97,0.022,0.003,0.322,0.678,0.015,0.001
Gzmk,6.7,0,0,0.1,0,1.32,-2.12,-3.17,0.017,0.004,0.271,0.729,0.013,0.001
4930449I24Rik,42.3,0,0.1,0.4,1.26,3.09,-2.09,-3.03,0.024,0.003,0.285,0.715,0.017,0.001
Cd48,61.4,21.2,0,16.2,-8.73,-0.38,-2.22,-2.91,0.021,0.003,0.353,0.647,0.014,0.001
Foxk2,49.2,0,0,0.2,0,2.46,-2.19,-3.06,0.018,0.003,0.327,0.673,0.012,0.001
Adamts2,32.6,0,0,0.2,0,2,-2.15,-3.04,0.024,0.003,0.311,0.689,0.017,0.001
Cideb,71.2,0,0,0.2,0,2,-2.14,-3.1,0.021,0.003,0.285,0.715,0.015,0.001
Med23,55.9,0,0,0.2,0,2,-2.19,-3.09,0.019,0.003,0.295,0.705,0.013,0.001
Eif2s2,762.9,1177.6,1,872.7,-10.07,-0.43,-2.27,-2.93,0.02,0.003,0.352,0.648,0.013,0.001
Arhgef26,124.8,0.2,0,0.5,-2.33,0.99,-2.2,-3.03,0.019,0.003,0.322,0.678,0.013,0.001
Vps36,44.6,0,0,0.2,0,2,-2.16,-3.1,0.024,0.003,0.298,0.702,0.017,0.001
2810408A11Rik,36.6,0,0,0.2,0,2,-2.18,-3.05,0.017,0.003,0.304,0.696,0.012,0.001
Dapp1,48.6,0,0,0.2,0,2,-2.16,-3.07,0.02,0.003,0.302,0.698,0.014,0.001
Syt7,27.9,0,0,0.2,0,2,-2.14,-3.09,0.022,0.003,0.301,0.699,0.015,0.001
Ankrd61,49,0,0.1,0.4,1.26,3.09,-2.08,-3.04,0.023,0.003,0.294,0.706,0.016,0.001
Slc52a3,49.4,0.1,0,0.2,-1.23,1.23,-2.22,-3.02,0.016,0.003,0.322,0.678,0.011,0.001
Adam2,190.7,0.1,0,0.5,-1.72,1.81,-2.18,-2.98,0.025,0.003,0.334,0.666,0.017,0.001
Aspg,0.5,0,0,0.1,0,1.32,-2.1,-3.12,0.024,0.003,0.278,0.722,0.017,0.001
Tnrc6c,22.7,0,0,0.2,0,2,-2.17,-3.07,0.021,0.003,0.302,0.698,0.015,0.001
Uhrf2,119.5,0,0,0.2,0,2.46,-2.17,-3.1,0.022,0.003,0.308,0.692,0.015,0.001
Rfx5,64.2,0,0,0.2,0,2.46,-2.2,-3.09,0.02,0.003,0.312,0.688,0.014,0.001
Tmem186,69.9,0,0,0.2,0,2,-2.17,-3.09,0.024,0.003,0.302,0.698,0.017,0.001
Sardh,32.6,0,0,0.2,0,2,-2.14,-3.08,0.021,0.003,0.302,0.698,0.014,0.001
Pkhd1,36.3,0,0,0.2,0,2,-2.14,-3.08,0.022,0.003,0.298,0.702,0.015,0.001
Pdgfra,185.4,0.1,0,0.4,-1.23,1.86,-2.19,-3.05,0.018,0.003,0.308,0.692,0.012,0.001
Higd1a,46.6,0,0,0.2,0,2,-2.16,-3.09,0.022,0.003,0.31,0.69,0.015,0.001
Pogz,67.3,0,0,0.2,0,2,-2.17,-3.12,0.017,0.003,0.291,0.709,0.012,0.001
Acsl6,59.5,0,0,0.2,0,2,-2.16,-3.15,0.02,0.003,0.296,0.704,0.014,0.001
Meig1,91.8,0.1,0,0.4,-1.72,1.37,-2.18,-3,0.018,0.003,0.316,0.684,0.012,0.001
Tinf2,30.6,0,0,0.2,0,2,-2.13,-3.1,0.021,0.003,0.292,0.708,0.015,0.001
Mrps14,241,0.1,0.2,0.8,0.66,2.29,-2.04,-3.03,0.023,0.003,0.277,0.723,0.017,0.001
Zfc3h1,155.8,0,0.1,0.6,1.92,3.7,-2.07,-3.05,0.022,0.003,0.281,0.719,0.016,0.001
B230118H07Rik,417.7,0.2,0.3,1.1,0.19,2.03,-2.05,-3.01,0.022,0.003,0.276,0.724,0.016,0.001
Znrd1as,303.3,0.4,0.3,1.2,-0.01,1.64,-2.07,-3.03,0.021,0.003,0.282,0.718,0.015,0.001
Tmem97,97.5,0,0,0.2,0,2.46,-2.13,-3.06,0.022,0.002,0.305,0.695,0.015,0.001
BB287469,206.9,0.1,0.2,0.8,1.15,2.77,-2.05,-2.99,0.02,0.003,0.289,0.711,0.014,0.001
Tma7,60.9,0,0,0.2,0,2,-2.2,-3.14,0.018,0.003,0.292,0.708,0.013,0.001
Cdk17,209.7,0,0.1,0.8,1.92,4,-2.09,-3.04,0.021,0.003,0.275,0.725,0.015,0.001
Opcml,77.7,0,0,0.2,0,2,-2.16,-3.11,0.02,0.002,0.297,0.703,0.014,0.001
Psmd10,311.8,0.2,0,0.8,-2.53,1.47,-2.22,-3.01,0.016,0.002,0.324,0.676,0.011,0.001
Mpc1,137,0,0,0.2,0,2.46,-2.19,-3.11,0.02,0.002,0.304,0.696,0.014,0.001
Yipf6,130.1,0.1,0,0.3,-1.1,1.71,-2.2,-3.05,0.017,0.002,0.31,0.69,0.012,0.001
Mup17,67.4,0,0.1,0.4,1.26,3.09,-2.08,-3.05,0.026,0.002,0.292,0.708,0.018,0.001
1700001F09Rik,87.9,0,0,0.2,0,2,-2.16,-3.1,0.027,0.002,0.295,0.705,0.019,0.001
Atad2,19.4,0,0,0.2,0,2,-2.15,-3.09,0.024,0.002,0.303,0.697,0.017,0.001
Eif3a,1490.8,27700.7,674947,300299.2,4.61,3.44,-1.28,-2.71,0.103,0.005,0.145,0.855,0.088,0.001
Gal3st4,8.3,4.7,0,5.9,-6.57,0.32,-2.22,-2.94,0.019,0.002,0.352,0.648,0.012,0.001
Nrsn1,104.5,0,0,0.2,0,2,-2.15,-3.15,0.017,0.003,0.282,0.718,0.012,0.001
Numa1,26.7,0,0,0.2,0,2,-2.17,-3.1,0.019,0.003,0.284,0.716,0.013,0.001
Repin1,22,0.1,0,0.2,-1.72,0.75,-2.18,-3.03,0.017,0.002,0.312,0.688,0.012,0.001
Prdx6b,84.6,0,0.1,0.4,1.26,3.09,-2.07,-3.02,0.021,0.002,0.29,0.71,0.015,0.001
Tagln3,57.9,0,0,0.2,0,2,-2.12,-3.1,0.022,0.003,0.277,0.723,0.016,0.001
Tsc2,21.1,0.1,0,0.2,-1.72,0.29,-2.16,-3.05,0.022,0.002,0.306,0.694,0.016,0.001
Scg2,82.7,0.1,0,0.2,-1.1,1.36,-2.19,-3.07,0.021,0.002,0.302,0.698,0.015,0.001
Nat2,69.3,0,0,0.2,0,2,-2.18,-3.1,0.017,0.002,0.297,0.703,0.012,0.001
Asb15,44.6,0,0,0.2,0,2,-2.16,-3.12,0.021,0.002,0.283,0.717,0.015,0.001
Tprgl,75,0,0,0.2,0,2,-2.13,-3.1,0.019,0.002,0.29,0.71,0.013,0.001
Sarm1,6.8,0,0,0.1,0,1.32,-2.12,-3.14,0.019,0.003,0.277,0.723,0.014,0.001
Zfp719,36.6,0,0,0.2,0,2,-2.14,-3.1,0.021,0.002,0.291,0.709,0.015,0.001
Tlcd1,9,0,0,0.1,0,1.32,-2.1,-3.18,0.022,0.003,0.274,0.726,0.016,0.001
Dpm2,117,0,0,0.2,0,2.46,-2.2,-3.12,0.023,0.002,0.305,0.695,0.016,0.001
Nop9,80.6,0,0,0.2,0,2,-2.17,-3.11,0.022,0.002,0.287,0.713,0.016,0.001
Akap1,27.2,0,0,0.2,0,2,-2.16,-3.09,0.023,0.002,0.295,0.705,0.016,0.001
Tbc1d5,32.8,0,0,0.2,0,2,-2.16,-3.08,0.019,0.002,0.303,0.697,0.013,0.001
Acsm5,32.8,0.1,0,0.2,-1.1,0.9,-2.15,-3.09,0.022,0.002,0.297,0.703,0.016,0.001
Olfm1,93.9,0.1,0,0.3,-1.8,1.01,-2.18,-3.07,0.021,0.002,0.312,0.688,0.014,0.001
Dstn,170.9,0.2,0.1,0.6,-0.95,1.49,-2.12,-3.01,0.021,0.002,0.3,0.7,0.015,0.001
Set,182.1,0,0,0.3,0,2.81,-2.18,-3.08,0.019,0.002,0.308,0.692,0.013,0.001
Phyh,169.7,0.1,0.1,0.4,0.03,1.86,-2.09,-3.04,0.019,0.002,0.284,0.716,0.014,0.001
Erc2,87.2,0,0.1,0.3,1.26,2.81,-2.05,-3.09,0.023,0.002,0.267,0.733,0.017,0.001
Atp2b4,113.2,0.3,0,0.4,-2.75,0.34,-2.2,-3.06,0.018,0.002,0.317,0.683,0.012,0.001
Wars,24.6,0,0,0.2,0,2,-2.16,-3.12,0.022,0.002,0.293,0.707,0.015,0.001
Phkg2,34.5,0,0,0.2,0,2,-2.13,-3.11,0.021,0.002,0.297,0.703,0.015,0.001
Scand1,0.8,0,0,0.1,0,1.32,-2.07,-3.14,0.022,0.002,0.267,0.733,0.016,0.001
Ociad1,235.1,0.1,0.1,0.7,0.12,2.06,-2.06,-3.05,0.019,0.002,0.268,0.732,0.014,0.001
Zfpm2,19.2,0,0,0.2,0,2,-2.19,-3.08,0.022,0.002,0.299,0.701,0.016,0.001
Efhb,44.6,0.1,0,0.3,-1.8,1.01,-2.21,-3.03,0.017,0.002,0.317,0.683,0.012,0.001
Nrcam,87.1,0.1,0,0.2,-1.23,1.23,-2.18,-3.07,0.016,0.002,0.31,0.69,0.011,0.001
Atp6v0e,89,0,0,0.2,0,2,-2.13,-3.11,0.022,0.002,0.281,0.719,0.016,0.001
Pitpnc1,98.6,0,0,0.2,0,2,-2.16,-3.16,0.018,0.002,0.28,0.72,0.013,0.001
Cd84,28.2,0.2,0,0.2,-2.21,0.25,-2.17,-3.1,0.02,0.002,0.307,0.693,0.014,0.001
Rab23,73.9,0,0,0.2,0,2,-2.2,-3.13,0.019,0.002,0.292,0.708,0.013,0.001
Uqcrh,68.6,0,0,0.2,0,2,-2.16,-3.1,0.02,0.002,0.302,0.698,0.014,0.001
Terf1,68.7,117.8,0,67,-11.2,-0.81,-2.24,-3.03,0.021,0.002,0.345,0.655,0.014,0.001
Pm20d1,125.1,0.1,0.1,0.4,0.03,1.86,-2.08,-3.04,0.018,0.002,0.282,0.718,0.013,0.001
