prey,Base_diUb4,Vec_diUb4,di4spUb,Enr_diUb4,sEnr_diUb4,p_Bind_diUb4
Ankrd27,32.4,0,0.2,2.39,-2.44,0.209
Pira1,24.2,0,0.2,2.06,-2.58,0.206
Pira2,24.6,0,0.2,2.06,-2.53,0.206
2610034M16Rik,106.7,0.1,0.5,1.73,-2.13,0.206
4930558K02Rik,116.3,0,0.3,2.65,-2.46,0.204
Dcst1,0.5,0,0.1,1.04,-2.8,0.202
Cfap53,55.7,0,0.2,2.39,-2.61,0.202
Znrf2,124.9,0.6,1.4,1.05,-1.99,0.201
Rpl17,91.3,0,0.2,2.39,-2.6,0.198
1200014J11Rik,71.6,0,0.2,2.39,-2.55,0.196
Taf15,1.4,0,0.1,1.04,-2.8,0.196
Psca,0.4,0,0.1,1.04,-2.82,0.193
Moxd1,41.4,0,0.2,2.06,-2.66,0.193
Tbc1d12,55.6,0,0.2,2.06,-2.71,0.19
Actrt3,45.1,0,0.2,2.06,-2.74,0.188
Qsox2,37.2,2.3,2.5,0.14,-2.03,0.187
A530064D06Rik,2.3,0,0.1,1.04,-2.79,0.186
Wfdc10,1.6,0,0.1,1.04,-2.8,0.186
Tnfsf12,1.4,0,0.1,1.04,-2.92,0.186
Degs1,315.7,0.1,0.5,2.43,-2.48,0.185
Kmt2e,185.2,155.6,130.7,-0.25,-2.09,0.184
Myzap,81.4,0,0.2,2.39,-2.64,0.183
Tgm2,60.1,1.1,1.7,0.6,-2.11,0.183
C2cd3,41,0,0.2,2.06,-2.81,0.18
Fbxo46,0.7,0,0.1,1.04,-2.89,0.179
Asb17,452.5,0.1,0.5,2.43,-2.61,0.177
Stab2,1.4,0,0.1,1.04,-3,0.175
Hsf1,1.7,0,0.1,1.04,-2.85,0.173
Gstm3,1.3,0,0.1,1.04,-3.03,0.172
Rbm28,71.5,0,0.2,2.06,-2.84,0.171
Cdc26,75,0,0.2,2.06,-2.92,0.168
Pdk3,88.1,0,0.2,2.39,-2.89,0.166
Pak4,1.8,0,0.1,1.04,-3.08,0.165
Tnfaip1,202.6,0,0.3,2.65,-2.8,0.164
Asb12,51.1,0,0.2,2.06,-2.81,0.163
C1ql3,46.7,0.1,0.3,0.94,-2.53,0.163
Srpk3,2.2,0,0.1,1.04,-3.04,0.163
Atp1a3,1.5,0,0.1,1.04,-3.15,0.16
Cops3,178.5,0.2,0.5,1.26,-2.41,0.16
Ubxn1,3.2,0,0.1,1.04,-3.14,0.157
Fam110a,4.1,0,0.1,1.04,-3.11,0.157
Dym,4.5,0,0.1,1.04,-3.14,0.157
Angel1,3.6,0,0.1,1.04,-3.06,0.156
Tmem178,63.7,0,0.2,2.06,-2.85,0.155
Pbp2,38.4,0.1,0.2,1.16,-2.62,0.155
Akt1,2.6,0,0.1,1.04,-3.08,0.154
Fech,113.6,0,0.2,2.06,-3.03,0.154
Fancd2,13.1,0.1,0.2,0.5,-2.54,0.154
Hoxd10,6.1,0,0.1,1.04,-3.2,0.154
Uba52,1.5,0,0.1,1.04,-3.16,0.153
C230052I12Rik,2.9,0,0.1,1.04,-3.2,0.151
Ddx20,91.5,0.1,0.3,1.55,-2.62,0.149
Derl2,69.6,0,0.2,2.06,-2.89,0.147
St8sia6,4.5,0,0.1,1.04,-3.19,0.146
C1rb,2.6,0,0.1,1.04,-3.2,0.146
Lrrc14,5.8,0,0.1,1.04,-3.25,0.145
Set,215.2,0,0.2,2.06,-3.05,0.145
AI317395,115.6,0,0.2,2.06,-3.09,0.144
Dock11,52.5,259.4,188,-0.46,-2.45,0.144
Col4a2,117.7,0,0.2,2.06,-3.1,0.144
Utp14b,5.2,0,0.1,1.04,-3.21,0.144
1700067P10Rik,5.3,0,0.1,1.04,-3.22,0.144
1700034J05Rik,222.2,0,0.3,2.65,-3.17,0.143
Adat1,8.8,0,0.1,1.04,-3.21,0.142
Edrf1,56.5,0.1,0.3,0.85,-2.66,0.142
Tra2a,82,24.1,16,-0.59,-2.41,0.141
Vpreb3,3.7,0,0.1,1.04,-3.2,0.141
Snrpd2,6.5,0,0.1,1.04,-3.16,0.141
Zfp600,3.5,0,0.1,1.04,-3.26,0.14
Tomm34,8.2,0,0.1,1.04,-3.25,0.14
Itm2b,606.1,0.1,0.6,1.97,-2.74,0.14
Dcp1a,3.5,0,0.1,1.04,-3.24,0.139
Prdx5,3.2,0,0.1,1.04,-3.24,0.137
Cpt2,5,0,0.1,1.04,-3.32,0.137
Gm13247,4.4,0,0.1,1.04,-3.33,0.137
Stx5a,60.8,0.1,0.3,0.94,-2.63,0.137
Zfp362,3.6,0,0.1,1.04,-3.26,0.137
Atg2a,4.3,0,0.1,1.04,-3.19,0.134
Tesk1,9.3,0,0.1,1.04,-3.3,0.134
Cnot10,8,0,0.1,1.04,-3.37,0.134
Prodh,6.9,0,0.1,1.04,-3.29,0.133
Vsig10,8.7,0,0.1,1.04,-3.23,0.133
Cml5,156.5,0,0.2,2.06,-3.23,0.133
Gng11,9.9,0,0.1,1.04,-3.39,0.132
Nuf2,112.4,0,0.2,2.06,-3.03,0.132
Ift80,102.9,0.4,0.5,0.35,-2.7,0.13
Mthfd1,4.1,0,0.1,1.04,-3.28,0.13
Lyar,44.9,0.1,0.2,0.83,-2.86,0.129
Sbk1,5.8,0,0.1,1.04,-3.31,0.129
Vmn2r88,4.9,0,0.1,1.04,-3.36,0.129
Il15,31.2,0.1,0.2,0.96,-2.91,0.129
Fdx1,10.6,0,0.1,1.04,-3.3,0.128
Kdm4d,9.5,0,0.1,1.04,-3.29,0.128
Dcc,3.3,0,0.1,1.04,-3.36,0.128
Dyrk4,9.2,0,0.1,1.04,-3.46,0.128
Cdk12,9.9,0,0.1,1.04,-3.32,0.128
Ncoa6,105,1761.6,1186.5,-0.57,-2.49,0.127
Plcd4,69.4,1792.3,955.3,-0.91,-2.62,0.126
Samsn1,9.3,0,0.1,1.04,-3.41,0.126
Chrna2,7.4,0,0.1,1.04,-3.38,0.126
Camk2d,153.4,0,0.2,2.06,-3.44,0.125
Arid5b,3.8,0,0.1,1.04,-3.31,0.124
St5,123.7,0,0.2,2.06,-3.3,0.124
Cdca3,14.2,0,0.1,1.04,-3.5,0.124
Capza3,341.5,0,0.2,2.39,-3.34,0.124
Gpx8,338.9,0,0.2,2.06,-3.37,0.123
Slc29a1,8.9,0,0.1,1.04,-3.4,0.123
Spaca1,15.7,0,0.1,1.04,-3.42,0.123
S100a9,4.7,0,0.1,1.04,-3.37,0.123
Gab1,152,0,0.2,2.06,-3.42,0.122
Hs3st3b1,11.9,0,0.1,1.04,-3.48,0.122
Stk10,10,0,0.1,1.04,-3.47,0.122
Cyp2c67,10.4,0,0.1,1.04,-3.44,0.122
Ppp6r3,11.6,0,0.1,1.04,-3.4,0.122
G630090E17Rik,9.2,0,0.1,1.04,-3.44,0.121
Smc6,210.2,2.8,2.7,-0.03,-2.7,0.121
Rgs9,9.9,0,0.1,1.04,-3.47,0.121
Amfr,320,54.7,39.6,-0.46,-2.59,0.12
Gldc,8.6,0,0.1,1.04,-3.39,0.12
Klrg1,3.6,0,0.1,1.04,-3.27,0.12
Rnf114,168.4,13.1,10.1,-0.37,-2.53,0.12
Add1,8.9,0,0.1,1.04,-3.43,0.119
Dkc1,18.9,0,0.1,1.04,-3.44,0.119
Rab4a,8.4,0,0.1,1.04,-3.46,0.119
Fam124b,10.7,0,0.1,1.04,-3.41,0.119
Zbtb46,6.6,0,0.1,1.04,-3.41,0.118
Incenp,9.5,0,0.1,1.04,-3.48,0.118
Cacna1e,6.3,0,0.1,1.04,-3.43,0.118
Jph2,5.5,0,0.1,1.04,-3.53,0.118
Mup15,297.6,0.2,0.5,1.05,-2.91,0.117
Sox13,4.5,0,0.1,1.04,-3.45,0.117
Mybl2,5.6,0,0.1,1.04,-3.52,0.117
Brap,9.9,0,0.1,1.04,-3.5,0.117
Atad5,12.7,0,0.1,1.04,-3.57,0.117
Trpc4,10.1,0,0.1,1.04,-3.42,0.116
Arap1,6.1,0,0.1,1.04,-3.35,0.116
Kcnd2,100.2,0.1,0.2,0.83,-3.1,0.116
Lmod1,11.3,0,0.1,1.04,-3.49,0.115
Trim41,22.7,0,0.1,1.04,-3.44,0.115
Cln8,19.1,0,0.1,1.04,-3.57,0.115
Ipo4,0.8,0.3,0.2,-0.77,-2.81,0.115
Fam24a,13.9,0,0.1,1.04,-3.58,0.114
Riok2,88.5,0.1,0.2,0.96,-3.03,0.114
Focad,17.9,0,0.1,1.04,-3.52,0.114
Sarm1,11.3,0,0.1,1.04,-3.53,0.114
Pom121l12,23.7,0,0.1,1.04,-3.53,0.114
Tmem141,15.3,0,0.1,1.04,-3.57,0.114
Cela2a,7.9,0,0.1,1.04,-3.44,0.114
Ptpmt1,13.2,0,0.1,1.04,-3.49,0.113
Ccdc138,11.3,0,0.1,1.04,-3.58,0.113
Bspry,21.1,0,0.1,1.04,-3.61,0.113
Ggct,4.9,0,0.1,1.04,-3.48,0.113
St3gal6,95.5,0.1,0.2,0.83,-3.06,0.113
Mb21d1,11.5,0,0.1,1.04,-3.56,0.113
Anxa9,22.7,0,0.1,1.04,-3.5,0.113
Tmem198b,10.8,0,0.1,1.04,-3.53,0.113
1700030F18Rik,6.6,0,0.1,1.04,-3.51,0.112
Dda1,7.8,0,0.1,1.04,-3.56,0.112
Ralgps1,122.7,0.2,0.3,0.5,-2.95,0.112
Tdrkh,13.6,0,0.1,1.04,-3.51,0.112
A730008H23Rik,10.2,0,0.1,1.04,-3.52,0.112
1700084C01Rik,12.9,0,0.1,1.04,-3.47,0.112
Serpine1,4.3,0,0.1,1.04,-3.59,0.112
Ddx19b,90.2,0.1,0.2,0.58,-2.96,0.112
Rgs18,17.6,0,0.1,1.04,-3.56,0.112
Micu1,10.4,0,0.1,1.04,-3.57,0.112
Nipsnap3a,15.6,0,0.1,1.04,-3.56,0.111
Ddx56,26,0,0.1,1.04,-3.53,0.111
Arhgdib,434.6,90.2,60.7,-0.57,-2.63,0.111
Cd72,10.9,0,0.1,1.04,-3.57,0.111
Usp53,5.7,0,0.1,1.04,-3.51,0.111
Theg,9.9,0,0.1,1.04,-3.55,0.111
Gli2,18.2,0,0.1,1.04,-3.58,0.111
Anapc13,26.6,0,0.1,1.04,-3.52,0.11
Mroh1,11.6,0,0.1,1.04,-3.55,0.11
Susd3,11.2,0,0.1,1.04,-3.67,0.11
Zfp566,14.4,0,0.1,1.04,-3.55,0.11
Ntpcr,10.7,0,0.1,1.04,-3.52,0.11
Zmynd8,9.5,0,0.1,1.04,-3.49,0.11
Gfpt2,17.2,0,0.1,1.04,-3.46,0.11
Whsc1l1,59,0.3,0.3,0.02,-2.92,0.11
Tns3,18.5,0,0.1,1.04,-3.55,0.11
Pacrg,207.3,0.1,0.3,0.77,-3.09,0.109
Ilk,157.4,0.1,0.2,0.83,-3.17,0.109
3110043O21Rik,138.9,0.1,0.2,0.96,-3.15,0.109
4930563E22Rik,19.8,0,0.1,1.04,-3.57,0.108
AK129341,51.6,0.9,0.7,-0.31,-2.79,0.108
Mcl1,201.3,0.1,0.2,0.96,-3.29,0.108
Tctex1d1,328.4,0,0.3,2.65,-3.51,0.108
Slc35d1,14.3,0,0.1,1.04,-3.62,0.108
Uvrag,27.3,0,0.1,1.04,-3.61,0.108
Zfp82,10.4,0,0.1,1.04,-3.53,0.107
Arel1,109,0.1,0.2,0.96,-3.2,0.107
Derl1,138.8,0.3,0.4,0.45,-2.9,0.107
Prr5l,29.2,0,0.1,1.04,-3.62,0.107
Depdc7,21.6,0,0.1,1.04,-3.6,0.107
Syp,18.9,0,0.1,1.04,-3.52,0.107
Cd14,18.3,0,0.1,1.04,-3.5,0.106
Stk24,12.5,0,0.1,1.04,-3.62,0.106
Bmx,15.6,0,0.1,1.04,-3.51,0.106
9130023H24Rik,16.6,0,0.1,1.04,-3.67,0.106
Aqp1,14.5,0,0.1,1.04,-3.61,0.106
M6pr,253.5,0.1,0.3,1.55,-3.09,0.106
Gm15881,20.8,0,0.1,1.04,-3.64,0.106
Atp13a5,11.4,0,0.1,1.04,-3.55,0.105
Spns2,10.6,0,0.1,1.04,-3.68,0.105
Osbpl11,28.5,0,0.1,1.04,-3.62,0.105
Actr1b,13.2,0,0.1,1.04,-3.61,0.105
Oprl1,20,0,0.1,1.04,-3.55,0.105
Zfp184,15.8,0,0.1,1.04,-3.63,0.105
Sybu,25.5,0,0.1,1.04,-3.61,0.105
Cfd,15.2,0,0.1,1.04,-3.56,0.105
Yars2,19.4,0,0.1,1.04,-3.6,0.104
Lclat1,47.3,1.5,1,-0.54,-2.86,0.104
Saraf,68.8,0.1,0.2,0.83,-3.16,0.103
Atp5b,132.1,0.1,0.2,0.83,-3.14,0.103
Mrpl32,17.7,0,0.1,1.04,-3.64,0.103
Ecscr,234.7,0.1,0.2,1.16,-3.16,0.103
Ccdc103,15.4,0,0.1,1.04,-3.5,0.103
Topors,245.8,0.1,0.2,1.16,-3.24,0.102
Eftud1,16.5,0,0.1,1.04,-3.71,0.102
Tsc1,14,0,0.1,1.04,-3.62,0.102
Fam35a,17.1,0,0.1,1.04,-3.62,0.102
Zfp422,165.6,0.2,0.3,0.5,-3.07,0.102
Dclre1c,22,0,0.1,1.04,-3.62,0.101
Tmem128,19.9,0,0.1,1.04,-3.63,0.101
Klhl25,17.8,0,0.1,1.04,-3.59,0.101
Ropn1l,13.7,0,0.1,1.04,-3.66,0.101
Htr2c,40.4,0,0.1,1.04,-3.74,0.101
Tctn3,28.4,0,0.1,1.04,-3.71,0.101
Jakmip2,27.4,0,0.1,1.04,-3.64,0.1
S100a10,25.3,0,0.1,1.04,-3.75,0.1
Dnaaf2,16.2,0,0.1,1.04,-3.65,0.1
Kif11,19.8,0,0.1,1.04,-3.69,0.1
Gtf2a2,36.8,0,0.1,1.04,-3.72,0.1
Gpr133,11.8,0,0.1,1.04,-3.59,0.1
Cwf19l1,19.9,0,0.1,1.04,-3.67,0.1
Akr1c12,15.4,0,0.1,1.04,-3.71,0.1
Dpy19l3,7.9,0,0.1,1.04,-3.49,0.1
Blzf1,152.8,0.1,0.2,0.83,-3.28,0.1
Zfp182,23.2,0,0.1,1.04,-3.57,0.1
4933402E13Rik,49.3,0.2,0.2,0.24,-3.03,0.099
Hba-a2,26,0,0.1,1.04,-3.75,0.099
Sox12,15.2,0,0.1,1.04,-3.6,0.099
Smarcd2,17.1,0,0.1,1.04,-3.62,0.099
Gjc1,29.6,0,0.1,1.04,-3.73,0.099
Spz1,260.3,0.1,0.2,1.16,-3.27,0.099
Mfsd11,13.2,0,0.1,1.04,-3.65,0.099
Rbm47,33,0,0.1,1.04,-3.73,0.099
Msrb3,25.5,0,0.1,1.04,-3.64,0.099
Rab36,28.4,0,0.1,1.04,-3.69,0.099
Tex40,23.8,0,0.1,1.04,-3.67,0.099
Atxn7,13.1,0,0.1,1.04,-3.63,0.099
Appl1,131.7,0.1,0.2,0.96,-3.23,0.099
Elac1,25.3,0,0.1,1.04,-3.68,0.099
Tprn,16.6,0,0.1,1.04,-3.62,0.099
Cdh4,26.4,0,0.1,1.04,-3.74,0.099
Lamb1,113.9,0.1,0.2,0.67,-3.17,0.098
Tcf12,127.1,0.1,0.2,0.83,-3.35,0.098
Pcmt1,193,0.1,0.2,0.67,-3.2,0.098
Usp13,10.4,0,0.1,1.04,-3.68,0.098
Gm5934,37.6,0,0.1,1.04,-3.69,0.097
Krt6b,14.7,0,0.1,1.04,-3.75,0.097
Epg5,35.2,0,0.1,1.04,-3.73,0.097
Eapp,48.8,0,0.1,1.04,-3.77,0.097
Pter,381.6,0.1,0.3,1.07,-3.26,0.097
Pebp1,34.5,0,0.1,1.04,-3.71,0.097
Map3k7cl,32.2,0,0.1,1.04,-3.74,0.097
Tubb2a,19.5,0,0.1,1.04,-3.75,0.097
1700034F02Rik,32.4,0,0.1,1.04,-3.7,0.096
Pcyt1b,11.1,0,0.1,1.04,-3.75,0.096
Mcm3ap,19.1,0,0.1,1.04,-3.66,0.096
Rsph1,22.4,0,0.1,1.04,-3.64,0.096
Car5b,25.5,0,0.1,1.04,-3.71,0.096
Kxd1,29.2,0,0.1,1.04,-3.64,0.096
Dvl1,13.2,0,0.1,1.04,-3.67,0.096
Plac8l1,36.3,0,0.1,1.04,-3.73,0.096
Fbxw17,17.8,0,0.1,1.04,-3.7,0.096
Mblac2,38.3,0,0.1,1.04,-3.73,0.096
Fam160a2,22.6,0,0.1,1.04,-3.73,0.095
Stard13,28.7,0,0.1,1.04,-3.71,0.095
Pef1,24.7,0,0.1,1.04,-3.69,0.095
Gpx6,118.5,3.4,1.7,-1,-2.92,0.095
Nuak2,28.4,0,0.1,1.04,-3.79,0.095
Ogfod3,13,0,0.1,1.04,-3.74,0.095
D19Bwg1357e,52.8,0,0.1,1.04,-3.81,0.095
Cst7,30.3,0,0.1,1.04,-3.79,0.095
Mybl1,18.8,0,0.1,1.04,-3.68,0.094
Cml2,37.1,0,0.1,1.04,-3.75,0.094
Arhgap30,20.6,0,0.1,1.04,-3.79,0.094
Mcm3,39.7,0,0.1,1.04,-3.77,0.094
Ewsr1,12.6,0,0.1,1.04,-3.76,0.094
Gas2l3,14.9,0,0.1,1.04,-3.72,0.094
Zfp846,28.3,0,0.1,1.04,-3.77,0.094
Dnajc15,39.3,0,0.1,1.04,-3.78,0.094
Eya4,32,0,0.1,1.04,-3.71,0.094
Cecr2,18.1,0,0.1,1.04,-3.65,0.094
Gyg,186.4,0.1,0.2,0.83,-3.33,0.094
Kank3,24.3,0,0.1,1.04,-3.71,0.094
Gng10,45.4,0,0.1,1.04,-3.73,0.094
Sec61a1,21.9,0,0.1,1.04,-3.72,0.093
1700012A03Rik,202.9,0.1,0.2,0.58,-3.28,0.093
Depdc5,29,0,0.1,1.04,-3.68,0.093
Cib4,26.1,0,0.1,1.04,-3.7,0.093
Ccdc87,21.9,0,0.1,1.04,-3.69,0.093
Slc44a3,38,0,0.1,1.04,-3.74,0.093
Tslp,27.3,0,0.1,1.04,-3.68,0.092
Slc22a1,39.8,0,0.1,1.04,-3.84,0.092
Tdrd7,33.4,0,0.1,1.04,-3.7,0.092
Scara3,19.7,0,0.1,1.04,-3.81,0.092
Prkg2,25,0,0.1,1.04,-3.72,0.092
Sec23b,92.3,0.1,0.2,0.26,-3.31,0.092
Fmod,22.1,0,0.1,1.04,-3.62,0.092
Armc12,22.5,0,0.1,1.04,-3.7,0.092
Bag2,19.3,0,0.1,1.04,-3.7,0.092
Rabepk,57.1,0,0.1,1.04,-3.78,0.091
Suclg1,242.6,0.1,0.2,1.16,-3.3,0.091
Zfand6,489.1,18.9,11.1,-0.77,-2.98,0.091
Capg,15.5,0,0.1,1.04,-3.66,0.091
Wdr59,26.9,0,0.1,1.04,-3.73,0.091
Zfpm2,21.4,0,0.1,1.04,-3.74,0.091
Wnt7a,21.5,0,0.1,1.04,-3.76,0.091
Rorc,25.7,0,0.1,1.04,-3.78,0.091
Upb1,36.2,0,0.1,1.04,-3.7,0.091
Trmt13,20.9,0,0.1,1.04,-3.8,0.091
Tor1a,23,0,0.1,1.04,-3.74,0.091
Asap1,171.8,0.1,0.2,0.83,-3.39,0.09
Irf8,43.6,0,0.1,1.04,-3.81,0.09
Fam163b,29.9,0,0.1,1.04,-3.78,0.09
Psap,18.9,0,0.1,1.04,-3.68,0.09
Rpl39,43,0,0.1,1.04,-3.88,0.09
Tox,38.8,0,0.1,1.04,-3.78,0.09
Reck,26.1,0,0.1,1.04,-3.73,0.09
Mroh8,51.3,0,0.1,1.04,-3.9,0.09
Tmem50b,100.7,0.1,0.2,0.67,-3.13,0.09
Foxg1,23.5,0,0.1,1.04,-3.75,0.09
1700007K09Rik,194,0.1,0.2,0.83,-3.35,0.089
Armcx5,32.8,0,0.1,1.04,-3.79,0.089
Prps1l1,263.7,0.2,0.3,0.66,-3.31,0.089
Acvrl1,18.2,0,0.1,1.04,-3.81,0.089
Snapc1,36,0,0.1,1.04,-3.71,0.089
Ccng1,373,0.1,0.2,1.16,-3.35,0.089
Pde6d,33.2,596.5,281.5,-1.08,-2.93,0.088
Ect2,42.6,0,0.1,1.04,-3.84,0.088
Tmem129,38.9,0,0.1,1.04,-3.84,0.088
Rps25,53.7,0,0.1,1.04,-3.86,0.088
Calm3,33.7,0,0.1,1.04,-3.82,0.088
Slc2a12,21.4,0,0.1,1.04,-3.75,0.088
Psmc2,348.2,1.5,1.3,-0.27,-3.13,0.088
4932429P05Rik,25,0,0.1,1.04,-3.62,0.088
Mettl3,29.7,0,0.1,1.04,-3.8,0.087
Armc10,99.7,0,0.1,1.04,-3.88,0.087
Ccdc79,39.6,0,0.1,1.04,-3.82,0.087
Mrpl51,21.1,0,0.1,1.04,-3.78,0.087
Mrpl33,39.9,0,0.1,1.04,-3.81,0.087
Bbs12,23.6,0,0.1,1.04,-3.72,0.087
Ifi27,48.4,0,0.1,1.04,-3.87,0.086
Gm21119,43.4,0,0.1,1.04,-3.85,0.086
Nars2,46.5,0,0.1,1.04,-3.86,0.086
Eif2ak1,44.4,0,0.1,1.04,-3.82,0.086
Lig4,38.6,0,0.1,1.04,-3.88,0.086
Rasef,54.8,0,0.1,1.04,-3.87,0.086
Aspm,15.5,0,0.1,1.04,-3.73,0.086
Zfp772,25.7,0,0.1,1.04,-3.8,0.086
C030039L03Rik,16.1,0,0.1,1.04,-3.74,0.086
Polr3a,42.9,0,0.1,1.04,-3.82,0.086
D630039A03Rik,22.4,0,0.1,1.04,-3.81,0.085
Parp14,60.4,0,0.1,1.04,-3.87,0.085
Nxt1,52.2,0,0.1,1.04,-3.89,0.085
Bend7,44.5,0,0.1,1.04,-3.76,0.085
Abcd2,25.1,0,0.1,1.04,-3.78,0.085
Fbxl7,44.7,0,0.1,1.04,-3.82,0.085
1700011E24Rik,52.3,0,0.1,1.04,-3.77,0.085
Ssmem1,725.7,1.4,1.1,-0.27,-3.26,0.085
Kat5,23.9,0,0.1,1.04,-3.74,0.085
Slc39a7,31,0,0.1,1.04,-3.68,0.085
1700012B07Rik,97.3,0.1,0.2,0.26,-3.33,0.085
Lgi1,47.9,0,0.1,1.04,-3.88,0.085
Ssbp3,22.8,0,0.1,1.04,-3.68,0.085
Mettl15,50.7,0,0.1,1.04,-3.82,0.084
Pcnxl4,47.4,0,0.1,1.04,-3.87,0.084
Eif2b5,31.4,0,0.1,1.04,-3.79,0.084
Zfp952,20.5,0,0.1,1.04,-3.88,0.084
Sulf1,39.8,0,0.1,1.04,-3.87,0.084
